id,title,description,event_date,group_id,sort_date,preview_limit,is_published
wp-archive-2025,Community photos 2025,Selected photos migrated from the public WordPress media library.,2025-01-01,past,2025-12-01,8,true
wp-archive-2026,Community photos 2026,Selected photos migrated from the public WordPress media library.,2026-01-01,past,2026-12-01,8,true
